path	ext	n_sheets	sheet_names	merges	maxcol	maxrow
Animales/Endemicas y amenazadas.xlsx	xlsx	1	Hoja1	10	30	172
Censo Puno 2007 y 2017 - Joaquin Suazo/Copia de CPV 2007 Puno - Distrital.xlsx	xlsx	3	Pobl | Hogar | Viv	51	198	132
Censo Puno 2007 y 2017 - Joaquin Suazo/Copia de CPV 2017 Puno - distrital.xlsx	xlsx	3	Población | Hogar | Vivienda	54	331	133
Colegios/INTERVENCIONES ACOND TERMICO - PUNO.xlsx	xlsx	1	MONTO DE ACONDICIONAMIENTOS	0	0	0
Colegios/Normas PMLE 2008-2025.xlsx	xlsx	1	Marco normativo_Mant	2	6	949
Colegios/USAR ESTE_ Mantenimiento colegios por año/2008-2024.xlsx	xlsx	2	2008 | MANTENIMIENTO_10072008_CIERRE_F	0	10	27475
Colegios/USAR ESTE_ Mantenimiento colegios por año/2009.xlsx	xlsx	2	Presupuesto _ 2009  MANTENIMIEN | Hoja1	0	8	2537
Colegios/USAR ESTE_ Mantenimiento colegios por año/2010 ADELANTO.xlsx	xlsx	2	Presupuesto _ ADELANTO 2010  PR | Hoja1	0	8	566
Colegios/USAR ESTE_ Mantenimiento colegios por año/2010.xlsx	xlsx	2	Presupuesto mantenimiento 2010 | Hoja1	0	8	1970
Colegios/USAR ESTE_ Mantenimiento colegios por año/2011-1.xlsx	xlsx	2	MANTENIMIENTO 2011-1 | Hoja1	0	8	2497
Colegios/USAR ESTE_ Mantenimiento colegios por año/2011-II.xlsx	xlsx	2	MANT 2011-2 | Hoja1	0	8	2974
Colegios/USAR ESTE_ Mantenimiento colegios por año/2014 PADRON 2014-I Y 2014-II.xlsx	xlsx	2	MANT 2014 | Hoja1	0	9	3464
Colegios/USAR ESTE_ Mantenimiento colegios por año/2015 PADRON 2015-I Y 2015-II.xlsx	xlsx	2	MANT 2015 | Hoja1	0	9	3658
Colegios/USAR ESTE_ Mantenimiento colegios por año/2016 PADRON 2016.xlsx	xlsx	2	MANT 2016 | Hoja1	0	10	3671
Colegios/USAR ESTE_ Mantenimiento colegios por año/2017 PADRON MANTENIMIENTO 2017-I.xlsx	xlsx	2	MANT 2017 | Hoja1	0	10	3820
Colegios/USAR ESTE_ Mantenimiento colegios por año/2017-III REPORTE ADELANTO 2018 AL 2018 05 10.xlsx	xlsx	2	ADELANTO 2018 | Hoja1	0	8	964
Colegios/USAR ESTE_ Mantenimiento colegios por año/2018 REPORTE MANTENIMIENTO.xlsx	xlsx	2	MANT 2018 | Hoja1	0	8	3747
Colegios/USAR ESTE_ Mantenimiento colegios por año/2019 REPORTE DE MANTENIMIENTO REGULAR.xlsx	xlsx	2	MANT 2019 | base	0	8	3915
Colegios/USAR ESTE_ Mantenimiento colegios por año/2022.xlsx	xlsx	1	BASE LLEE	0	13	3960
DATA PARA DISEÑO/FAUNA EN PELIGRO/Fauna_datos.xlsx	xlsx	1	Sheet1	1	0	0
DATA PARA DISEÑO/METALES mg-L/HUNACANE/Monitoreo_Hunacane.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA DISEÑO/METALES mg-L/HUNACANE/Monitoreo_Suches.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA DISEÑO/METALES mg-L/ILAVE/Monitoreo_ilave.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA DISEÑO/METALES mg-L/JULIACA/LAGUNA_LAGUNILLAS/Monitoreo_Acuicola_lagunillas.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA DISEÑO/METALES mg-L/RAMIS/AZANGARO/Monitoreo_Azangaro.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA DISEÑO/METALES mg-L/RAMIS/PUCARÁ/Monitoreo_Pucara.xlsx	xlsx	1	Monitoreo ANA	0	0	0
DATA PARA DISEÑO/PLAN MAESTRO/Proyecto futuro “El Plan Maestro”.xlsx	xlsx	2	Proyecto "El Plan Maestro" | Resumen	1	0	0
DATA PARA MODELO/CALIDAD DEL AGUA/azangaro-ramis.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA MODELO/DEMOGRAFIA/Población_proyectada_Puno_limpia.xlsx	xlsx	1	Sheet1	0	0	0
DATA PARA MODELO/FAUNA/Tabla_fauna_avifauna_RNT_1998_2008.xlsx	xlsx	2	Cuadro 7 - Cambio | Cuadro 6 - Densidad	0	4	27
DATA PARA MODELO/NIVELES DEL AGUA (LAGO)/Nivel del agua .xlsx	xlsx	1	Hoja 1	0	0	0
Data para herramienta/Datos_herramienta.xlsx	xlsx	5	1_monitoreo | 2_calidad_agua | 3_sedimentos | 4_fuentes_contaminantes | DICCIONARIO	4	30	33
Data para herramienta/METALES mg-L/HUNACANE/Monitoreo_Hunacane.xlsx	xlsx	1	Sheet1	0	0	0
Data para herramienta/METALES mg-L/HUNACANE/Monitoreo_Suches.xlsx	xlsx	1	Sheet1	0	0	0
Data para herramienta/METALES mg-L/ILAVE/Monitoreo_ilave.xlsx	xlsx	1	Sheet1	0	0	0
Data para herramienta/METALES mg-L/JULIACA/LAGUNA_LAGUNILLAS/Monitoreo_Acuicola_lagunillas.xlsx	xlsx	1	Sheet1	0	0	0
Data para herramienta/METALES mg-L/RAMIS/AZANGARO/Monitoreo_Azangaro.xlsx	xlsx	1	Sheet1	0	0	0
Data para herramienta/METALES mg-L/RAMIS/PUCARÁ/Monitoreo_Pucara.xlsx	xlsx	1	Monitoreo ANA	0	0	0
Data para herramienta/RED MONITOREO UNIDADES HIDROGRAFICAS - TITICACA_.xls	xls	1	Hoja1			
Data para herramienta/calidad_agua_titicaca_ANA_2013-2025_v2 (1).xlsx	xlsx	5	1_monitoreo | 2_calidad_agua | 3_sedimentos | 4_fuentes_contaminantes | DICCIONARIO	1	25	73
Datos_ProyectoTiticaca.xlsx	xlsx	1	Data	0	0	0
Demografía de Puno y Proyecciones/CPV 2017 - Indicadores a nivel de centro Poblado - Puno.xlsx	xlsx	1	CCPP2017_Poblacion	15	70	1054
