station_id,lat,lon,utm_este,utm_norte,water_body_proto
LTit01,-15.33493,-69.76175,418233,8304485,L Mayor
LTit02,-15.335242,-69.693578,425551,8304475,L Mayor
LTit03,-15.396108,-69.829035,411036,8297691,L Mayor
LTit04,-15.404148,-69.690666,425888,8296854,L Mayor
LTit05,-15.420595,-69.547057,441303,8295079,L Mayor
LTit06,-15.493526,-69.861641,407580,8286901,L Mayor
LTit07,-15.480808,-69.611288,434430,8288400,L Mayor
LTit08,-15.51609,-69.4463,452136,8284541,L Mayor
LTit09,-15.607905,-69.743748,420270,8274296,L Mayor
LTit10,-15.578157,-69.510948,445219,8277660,L Mayor
LTit11,-15.616963,-69.340953,463452,8273404,L Mayor
LTit12,-15.753402,-69.746795,420000,8258200,L Mayor
LTit13,-15.705724,-69.645085,430880,8263510,L Mayor
LTit14,-15.67972,-69.406229,456468,8266450,L Mayor
LTit15,-15.688015,-69.19004,479636,8265565,L Mayor
LTit16,-15.807722,-69.539738,442197,8252259,L Mayor
LTit17,-15.761252,-69.191714,479464,8257464,L Mayor
LTit18,-15.902631,-69.728838,421981,8241699,L Mayor
LTit19,-15.906088,-69.581561,437748,8241366,L Mayor
LTit20,-15.8638,-69.371291,460248,8246095,L Mayor
LTit21,-15.824504,-69.256909,472489,8250460,L Mayor
LTit22,-15.838189,-69.111443,488067,8248960,L Mayor
LTit23,-15.989851,-69.428541,454147,8232140,L Mayor
LTit24,-15.90141,-69.177432,481007,8241962,L Mayor
LTit25,-15.937102,-69.002747,499706,8238022,L Mayor
LTit26,-16.028429,-69.311479,466679,8227895,L Mayor
LTit27,-16.003148,-69.072913,492199,8230715,L Mayor
LTit28,-15.987744,-68.79038,522429,8232409,L Mayor
LTit29,-16.146223,-69.439829,452976,8214840,L Mayor
LTit30,-16.132814,-69.235567,474813,8216359,L Mayor
LTit31,-16.168981,-69.102805,489010,8212370,L Mayor
LTit32,-16.13637,-68.935381,506909,8215979,L Mayor
LTit33,-16.196283,-69.385565,458788,8209314,L Mayor
LTit34,-16.25589,-69.29162,468839,8202737,L Mayor
LTit36,-16.223542,-68.843617,516713,8206331,L Mayor
LTit37,-16.23033,-68.789489,522497,8205575,L Menor
LTit38,-16.237962,-68.734729,528348,8204724,L Menor
LTit39,-16.24679,-68.673694,534869,8203738,L Menor
LTit40,-16.254418,-68.618505,540765,8202884,L Menor
LTit41,-16.260836,-68.938316,506591,8202211,L Menor
LTit42,-16.26766,-68.793258,522090,8201446,L Menor
LTit43,-16.273677,-68.740166,527762,8200774,L Menor
LTit44,-16.281304,-68.67871,534327,8199921,L Menor
LTit45,-16.28933,-68.623108,540266,8199023,L Menor
LTit46,-16.29819,-69.009351,499001,8198080,L Menor
LTit47,-16.304974,-68.952531,505071,8197329,L Menor
LTit48,-16.348309,-68.80454,520876,8192526,L Menor
LTit49,-16.36515,-68.752705,526410,8190657,L Menor
LTit50,-16.357935,-68.970093,503194,8191471,L Menor
LTit51,-16.384405,-68.890658,511676,8188540,L Menor
LTit52,-16.400111,-68.788989,522531,8186794,L Menor
LTit53,-16.418894,-68.99099,500962,8184728,L Menor
LTit54,-16.480637,-69.008554,499087,8177898,L Menor
LTit55,-16.506291,-68.931633,507296,8175059,L Menor
LTit56,-16.561605,-69.035309,496233,8168941,L Menor
LTit57,-16.559198,-68.950023,505332,8169207,L Menor
LTit58,-16.580834,-68.873103,513537,8166810,L Menor
LTit59,-15.835367,-70.014143,391402,8249013,B Puno
LTit60,-15.830622,-70.00241,392656,8249544,B Puno
LTit61,-15.855112,-69.983994,394641,8246844,B Puno
LTit62,-15.841048,-69.993581,393607,8248395,B Puno
LTit63,-15.850692,-69.995776,393377,8247327,B Puno
LTit64,-15.835138,-69.985428,394477,8249053,B Puno
LTit65,-15.859196,-69.935423,399844,8246416,B Puno
LTit66,-15.846336,-69.949428,398338,8247832,B Puno
LTit67,-15.830643,-69.909296,402628,8249587,B Puno
LTit68,-15.868449,-69.904487,403161,8245407,B Puno
LTit69,-15.868652,-69.86812,407055,8245401,B Puno
LTit70,-15.826023,-69.872093,406610,8250115,B Puno
LTit71,-15.775938,-69.857456,408155,8255662,B Puno
LTit72,-15.753005,-69.800187,414280,8258223,B Puno
LTit73,-15.713372,-69.834571,410579,8262593,B Puno
