station_id,lat,lon,utm_este,utm_norte,datum,water_body,coord_original_text,coord_source,coord_source_file,extraction_method,confidence,status,notes
LTit02,-15.335242,-69.693578,425551,8304475,UTM 19S (EPSG:32719) → WGS84,L Mayor,425551 8304475 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit03,-15.396108,-69.829035,411036,8297691,UTM 19S (EPSG:32719) → WGS84,L Mayor,411036 8297691 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit04,-15.404148,-69.690666,425888,8296854,UTM 19S (EPSG:32719) → WGS84,L Mayor,425888 8296854 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit05,-15.420595,-69.547057,441303,8295079,UTM 19S (EPSG:32719) → WGS84,L Mayor,441303 8295079 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit06,-15.493526,-69.861641,407580,8286901,UTM 19S (EPSG:32719) → WGS84,L Mayor,407580 8286901 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit07,-15.480808,-69.611288,434430,8288400,UTM 19S (EPSG:32719) → WGS84,L Mayor,434430 8288400 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit08,-15.51609,-69.4463,452136,8284541,UTM 19S (EPSG:32719) → WGS84,L Mayor,452136 8284541 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit09,-15.607905,-69.743748,420270,8274296,UTM 19S (EPSG:32719) → WGS84,L Mayor,420270 8274296 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit10,-15.578157,-69.510948,445219,8277660,UTM 19S (EPSG:32719) → WGS84,L Mayor,445219 8277660 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit100,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit101,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit102,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit103,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit104,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit105,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit106,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit12,-15.753402,-69.746795,420000,8258200,UTM 19S (EPSG:32719) → WGS84,L Mayor,420000 8258200 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit13,-15.705724,-69.645085,430880,8263510,UTM 19S (EPSG:32719) → WGS84,L Mayor,430880 8263510 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit14,-15.67972,-69.406229,456468,8266450,UTM 19S (EPSG:32719) → WGS84,L Mayor,456468 8266450 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit16,-15.807722,-69.539738,442197,8252259,UTM 19S (EPSG:32719) → WGS84,L Mayor,442197 8252259 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit18,-15.902631,-69.728838,421981,8241699,UTM 19S (EPSG:32719) → WGS84,L Mayor,421981 8241699 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit19,-15.906088,-69.581561,437748,8241366,UTM 19S (EPSG:32719) → WGS84,L Mayor,437748 8241366 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit20,-15.8638,-69.371291,460248,8246095,UTM 19S (EPSG:32719) → WGS84,L Mayor,460248 8246095 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit23,-15.989851,-69.428541,454147,8232140,UTM 19S (EPSG:32719) → WGS84,L Mayor,454147 8232140 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit26,-16.028429,-69.311479,466679,8227895,UTM 19S (EPSG:32719) → WGS84,L Mayor,466679 8227895 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit29,-16.146223,-69.439829,452976,8214840,UTM 19S (EPSG:32719) → WGS84,L Mayor,452976 8214840 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit33,-16.196283,-69.385565,458788,8209314,UTM 19S (EPSG:32719) → WGS84,L Mayor,458788 8209314 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit34,-16.25589,-69.29162,468839,8202737,UTM 19S (EPSG:32719) → WGS84,L Mayor,468839 8202737 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
LTit35,,,,,,,,,,,,missing,sin coordenada en fuentes en disco; requiere SNIRH/partner (red expandida)
LTit41,-16.260836,-68.938316,506591,8202211,UTM 19S (EPSG:32719) → WGS84,L Menor,506591 8202211 (UTM 19S),protocolo_binacional,PROTOCOLO-BINACIONAL_compressed.pdf,pdftotext_table,high,resolved,
